text,sentiment,url
"There are about a quarter-million migrant workers in Lebanon, many of them from Ethiopia, but as the coronavirus continues to wreak havoc on the former country's economy, maids from the latter are finding themselves suddenly out of a job and dumped on the doorstep of the Ethiopian Embassy in Beirut. The Telegraph started reporting earlier this month on the phenomenon, which has left dozens of domestic servants abandoned and with nowhere to go. ""I was thrown on the side of the road like a piece of garbage,"" says a 20-year-old maid named Aseem. ""I am not garbage. How could she do this to me?"" The paper notes that Lebanese currency has lost 70% of its value since October, unemployment rates are rising, and the cost of staples has gone up threefold, all of which have helped drain people's savings accounts.And that has left many of the working-class and middle-class families, who typically can afford cheap live-in labor, with no way to now afford domestic help. With no real labor laws on the books for these type of workers—which means no minimum wage, no set days off or limits to hours worked, and no way to register complaints about employers—the system ""enables modern-day slavery in our houses,"" Farah Salka, the head of Lebanon's Anti-Racism Movement, tells the BBC. The first group of 35 maids dropped off at the embassy earlier in June have since been taken to an NGO-managed shelter, but as word spread, more maids have been left there to sleep on the pavement. Meanwhile, the embassy and Ethiopian ambassador aren't responding. ""I didn't expect [my employer] to throw me on the streets ... without my passport or any clothes,"" Aseem tells the Telegraph. (Read more Lebanon stories.)",neg,"https://www.newser.com/story/292589/in-lebanon-scores-of-migrant-maids-dumped-like-garbage.html
"
"An American man was among the three victims stabbed to death in a park in the English town of Reading, in an incident that's being treated as a terror attack, the US ambassador to Britain confirmed Monday. Ambassador Woody Johnson offered his ""deepest condolences'' to the families of those killed in the attack on Saturday. A 25-year-old man who's believed to be the lone attacker is in custody, but officials said the motive for the carnage was unclear, per the AP. ""Our thoughts are with all those affected,'' Johnson noted on Twitter. ""We condemn the attack absolutely and have offered our assistance to British law enforcement.""In addition to the three people killed, three others were seriously wounded in the stabbing attack Saturday evening in the Forbury Gardens park in Reading, a town of 200,000 people 40 miles west of London. The Philadelphia Inquirer named the American victim as Joe Ritchie-Bennett, a friend of James Furlong, a history teacher named by his school as one of the victims. Ritchie-Bennett was 39 and had moved to England from the US around 15 years ago. His father, Robert Ritchie, said his son worked for a law firm in London before taking a job about 10 years ago at a Dutch pharmaceutical company that had its British headquarters in Reading. The third victim hadn't been identified as of Monday morning, per CBS News. Britain's official terrorism threat level remains at ""substantial"" after the attack.(Read more terror attack stories.)",neg,"https://www.newser.com/story/292579/ambassador-uk-stabbing-took-life-of-an-american.html
"
"Skeletal remains found in Texas have been identified as those of a soldier from Oklahoma who was missing from Fort Hood, the US Army’s Criminal Investigation Command in Quantico, Va., said Sunday. The body of Pvt. Gregory Scott Morales, 24, of Sapulpa, Okla., was found Friday in a field in Killeen, Texas, after officials at nearby Fort Hood received a tip, according to Killeen police. Foul play is suspected while an autopsy is to determine the cause and manner of death, according to a release from Army CID public affairs chief Chris Grey. There is no indication Morales' death is connected to the disappearance in April of Pfc. Vanessa Guillen from Fort Hood, who remains missing, according to the Army. Morales, who was also known as Gregory Wedel, was last seen in August driving his personal vehicle outside of Fort Hood, the AP reports.He was to be discharged within days after his disappearance, the Army said. Morales joined the Army in June 2015 as a motor transport operator and had been assigned to the 1st Sustainment Brigade, 1st Cavalry Division at Fort Hood since November 2016, according to the Army. A $25,000 reward is being offered for information about his death. As for Guillen, who has been missing since April 22, Fort Hood released a video on social media Monday pleading for information on her whereabouts, KWTX reports. ""I’m asking for your assistance. Somebody, somewhere out there has the piece of information that we need to bring Vanessa home,"" Major General Scott Efflandt, III Corps Deputy Commander, says in the video. ""We won’t stop this effort until we are successful. And with your help, we can be successful sooner."" (Read more Fort Hood stories.)",neg,"https://www.newser.com/story/292564/body-of-one-of-the-missing-fort-hood-soldiers-found.html
"
"A black man whose hanging death roused the ire of activists did indeed die by suicide, the New York Times reports. A family spokesman says video of Malcolm Harsch, 38, taking his life in Victorville, Calif., last month confirmed he hadn't been lynched. Sheriff's officials reinforced that by showing reporters video of Harsch hanging himself from a tree with an electronics cable near the homeless camp where he lived, per the Press-Enterprise. Sgt. Steve Allen told them Harsch took his life after he and his girlfriend angrily broke up and she threatened ""to make one of your homeboys my new boyfriend."" Harsch is seen in the video throwing donuts at her tent before taking his own life.The family spokesman, Najee Ali, reiterated that activists had to pressure the police to investigate. ""Due to the fact that he was an African-American homeless man with no family initially, his life and investigation were devalued and put on the back burner,"" Ali said. ""The stress from being homeless, the lack of hope and the despair led him to choose to, unfortunately, end his life."" Harsch is one of two black men whose California hanging deaths made headlines and sparked fears of lynchings. Family of the other man, 24-year-old Robert Fuller, say they're still waiting for results into a probe of his death. The Signal reports that dozens of Santa Clarita residents gathered Saturday in Central Park to honor the lives of Harsch and Fuller. (Read more suicide stories.)",neg,"https://www.newser.com/story/292538/family-responds-to-video-of-black-mans-hanging.html
"
"A Canadian agency is investigating after a plane filled with 500 puppies landed in Toronto, and 38 of them were found dead. Others were ill—dehydrated, vomiting and weak, the Guardian reports. ""It was a nightmare,"" a witness said. The Ukraine International Airlines plane landed June 13 Pearson airport carrying French bulldogs. Canadian law prohibits ferrying animals in an unsafe way that could injure them or cause suffering. There also are regulations to prevent spreading disease when importing animals, per the Globe and Mail. The airline said it was cooperating with the investigation and posted an apology online Friday, calling it a ""tragic loss of animal life.""Flights often leave Ukraine and Eastern Europe packed with young puppies brought west for resale, said an SPCA International official in Ukraine. ""These commercial operations are run by large puppy mills that house and breed hundreds and thousands of dogs every year in typically unsterile conditions,"" he said, per the CBC. There isn't enough room in the cargo hold to safely put hundreds of animals, he said, resulting in what the witness called a ""horror show."" French bulldog puppies can sell for $3,000 to $4,000 each, said a professor who is studying the issue with the government. ""We have no idea how many dogs come in, where they go, where they come from,"" he said. (Read more animal welfare stories.)",neg,"https://www.newser.com/story/292547/38-puppies-dont-survive-flight-packed-with-500-dogs.html
"
"After a horrific CART racing crash in 2001 cost him both his legs, Alex Zanardi built his own prosthetics and made an incredible comeback as a Paralympic athlete, winning gold in handcycling four times. Now, a second horrific crash for Zanardi. The 53-year-old former Formula One driver was placed in a medically induced coma Friday after suffering severe head injuries in a crash in Tuscany, Italy, CNN reports. Witnesses say he lost control of his handbike during a downhill section of the ""Obiettivo tricolore"" relay race and veered into the oncoming lane, where he was hit by a truck.Zanardi was in surgery for more than three hours after the crash and doctors say they are very concerned about possible brain damage, the AP reports. ""The condition of Alex Zanardi is serious but stable,"" Dr. Giuseppe Olivieri told reporters outside a hospital in Siena Saturday. ""He arrived here with major facial cranial trauma, a smashed face, and a deeply fractured frontal bone."" He added: ""We won’t see what his neurological state is until he wakes up—if he wakes up."" ""You have never given up and with your extraordinary fortitude you have overcome a thousand difficulties,"" Italian prime minister Giuseppe Conte said, per the BBC. ""Come on Alex Zanardi, don't give up. All of Italy is fighting with you."" (Read more Paralympics stories.)",neg,"https://www.newser.com/story/292537/famed-paralympian-in-coma-after-terrible-crash.html
"
"Lori Vallow's brother, Alex Cox, died in December, but it was pings to his cellphone that led investigators to the bodies of Vallow's kids, who went missing in September. Human remains belonging to JJ Vallow, 7, and Tylee Ryan, 17, were discovered earlier this month on rural Idaho property belonging to Chad Daybell, Vallow's fifth husband (who is not the father of either child). Both Vallow and Daybell have been arrested in connection with the children's disappearances, though neither has been charged with murder and authorities have not said how the children died. But East Idaho News reports that, per court documents, JJ was found wrapped in plastic and duct tape while Tylee was found dismembered and burned. CNN reports that authorities found, via Cox's cellphone, that Cox had visited Daybell's Fremont County property four times in September—including visits on the days after each of the kids was last seen.A friend says Vallow, who along with Daybell was said to be obsessed with doomsday prophesies, had described both children as zombies before their deaths. Tylee was last seen in Yellowstone National Park Sept. 8, and Cox was on that trip along with Vallow and JJ. Cox's phone shows he was then at Vallow's apartment three times immediately following that trip, the final visit starting at 2:42am Sept. 9. Later that morning, pings show Cox was in Daybell's yard for more than two hours, with a possible jaunt to a city five minutes away. About 14 minutes after Cox was last in the backyard, per the phone, Daybell texted his then-wife, Tammy Daybell (who died in October), to tell her he shot a raccoon that morning and buried it in their pet cemetery—the same part of the property where Cox's phone pinged. Neighbors also recalled seeing a fire on the property Sept. 9, which was described as unusual, the AP reports. JJ was last seen Sept. 22, and Cox's phone pinged from Daybell's backyard—again from the location where the bodies were later found—on Sept. 23. (Read more Lori Vallow stories.)",neg,"https://www.newser.com/story/292536/bodies-of-vallows-kids-found-thanks-to-cell-phone-data.html
"
"British actor Ian Holm, best known for playing an android in Alien and Bilbo Baggins in the Lord of the Rings film series, has died at the age of 88, per a statement from his agent, report CNN and the Guardian. ""It is with great sadness that the actor Sir Ian Holm CBE passed away [Friday] morning,"" the statement reads, adding his death was tied to Parkinson's disease. ""He died peacefully in hospital, with his family and carer."" Born in Essex in 1931, Holm became involved with theater early, winning a Tony Award in 1967 for The Homecoming. However, Holm's stage fright led him to leave theater after ""a sort of breakdown"" during a 1976 performance of The Iceman Cometh, which is when he turned his focus to film. He catapulted to international fame with his role as the android Ash in 1979's Alien, followed by a turn at playing coach Sam Mussabini in 1981's Chariots of Fire.Holm was nominated for a best supporting actor Oscar for that role, though he lost out to John Gielgud for Arthur. From there, Holm became what the Guardian calls ""a bona fide acting grandee,"" mostly playing supporting roles, including that of Bilbo Baggins in Peter Jackson's Lord of the Rings and Hobbit franchises. The Independent rounds up some online tributes to Holm, including one from the British Academy of Film and Television Arts; Holm was nominated for six BAFTAs over the course of his career. ""We are very sorry to hear of the death of Ian Holm,"" the group tweeted, along with a photo of Holm winning his supporting actor award for Chariots of Fire. ""Charming, kind, and ferociously talented, we will miss him hugely,"" added Holm's agent. The actor is survived by his fourth wife, artist Sophie de Stempel, and five children. The Guardian shows off his career here in pictures. (Read more obituary stories.)",neg,"https://www.newser.com/story/292484/goodbye-bilbo-baggins.html
"
"Alex Kearns was enjoying investing, family members say—spending time on Robinhood, a free trading app, and experimenting with the stock market. The 20-year-old had just started during the pandemic, Forbes reports, while he was home with his parents from college. But late Thursday night, he apparently was shocked to see his Robinhood account, though it showed $16,000 in it, was $730,165 in the red. He wrote a note to his parents saying he didn't approve margin trading for his account and didn't think a small account could incur such a huge loss. ""He thought that he had blown up his entire future,"" a family member said. ""I mean this is a kid that when he was younger was so conscious about savings."" He put a note on his door telling his parents to turn on his computer. When they did, they found a letter beginning, ""If you're reading this, then I am dead."" His body was found Friday.""How was a 20 year old with no income able to get assigned almost a million dollars worth of leverage?"" Kearns wrote to his parents. He said Robinhood let him take on too much risk, per CNBC, though he had ""no clue"" what he was doing. But when he last checked his account before killing himself, Kearns might have misunderstood what it meant, the relative said. His negative balance might have been temporary, lasting only until the stocks underlying his assigned options reached his account. To draw young traders, others in the brockerage business, including E-Trade, TD Ameritrade, Charles Schwab, Fidelity and even Merrill Lynch offer started to offer zero minimum balances and no-commission deals. But many of the new customers lack the knowlege to succeed. Robinhood, which said it contacted Kearns' parents to offer condolences, added that it's looking into whether it should make any changes in its platform. (Lockdown brings added stress, experts say.)",neg,"https://www.newser.com/story/292436/with-app-showing-a-huge-loss-20-year-old-takes-his-own-life.html
"
"A legendary voice from World War II has been silenced. A statement from the family of Dame Vera Lynn says they are ""deeply saddened to announce the passing of one of Britain's best-loved entertainers"" on Thursday morning in Ditchling, East Sussex, ""surrounded by her close family."" Her death was also confirmed by her representative, per the New York Times. She was 103. NBC News notes Lynn was known as the ""Forces' Sweetheart"" for her World War II ballads, including the hits ""The White Cliffs of Dover,"" ""A Nightingale Sang in Berkeley Square,"" ""There'll Always Be an England,"" and the melancholy ""We'll Meet Again."" When Lynn turned 100, a 350-foot-tall image of her face was projected onto the Cliffs of Dover to pay tribute to her song. Born in the London borough of Newham in 1917, Lynn started performing before she hit the double digits.She sang with British bandleaders Billy Cotton and Bert Ambrose, and in her early 20s, began performing at military bases and hospitals around England. She also had her own BBC radio show. ""Churchill didn't beat the Nazis,"" Welsh comedian Harry Secombe once said. ""Vera sang them to death."" Lynn's appeal to the soldiers, in her own words, per NBC: ""I was very similar to their sisters and their girlfriends. They thought I was one of them ... and they could relate to me."" CNN notes Lynn was the first British singer to hit No. 1 on the US charts, with 1952's ""Auf Wiederseh'n, Sweetheart."" In 1975, Lynn was awarded one of England's top honors: that of Dame Commander of the British Empire. Lynn's husband of nearly six decades, died in 1998. They're survived by their daughter, Virginia Lewis-Jones, who talks here about what it was like growing up with Lynn. (Read more obituary stories.)",neg,"https://www.newser.com/story/292431/a-legendary-voice-from-wwii-is-dead.html
"
